iter	Accuracy	MultiClass
395	0.9904464286	0.0601696414
396	0.9904166667	0.06011092413
397	0.9904166667	0.06009929475
398	0.9904464286	0.06006625221
399	0.9904761905	0.05999717349
400	0.9905357143	0.05995867411
401	0.9905357143	0.05988214402
402	0.9905357143	0.05977104914
403	0.9905654762	0.05972344898
404	0.9905654762	0.05967131478
405	0.990625	0.05956653777
406	0.9905952381	0.05945792425
407	0.9905952381	0.05931252979
408	0.9906845238	0.05915851411
409	0.9907142857	0.05910486494
410	0.9908035714	0.05881820315
411	0.9908035714	0.05878452483
412	0.9908035714	0.05875746227
413	0.9908035714	0.05872725714
414	0.9908035714	0.05872459775
415	0.9908333333	0.05871285211
416	0.990952381	0.05864718483
417	0.9908928571	0.05856290181
418	0.990922619	0.05852863857
419	0.9908630952	0.0584055183
420	0.9908928571	0.0583744703
421	0.990952381	0.05822472345
422	0.9909821429	0.05808393206
423	0.9910416667	0.0580372002
424	0.9909821429	0.05780699594
425	0.9910714286	0.05776002793
426	0.9910714286	0.05768899827
427	0.9911011905	0.05754179092
428	0.9910714286	0.05751673744
429	0.9911309524	0.05735064552
430	0.9912202381	0.05719215393
431	0.9911904762	0.05709470476
432	0.9912202381	0.05691571554
433	0.9911904762	0.05682021368
434	0.9911904762	0.05679867336
435	0.9911904762	0.05667752584
436	0.99125	0.05648933411
437	0.99125	0.05640409197
438	0.99125	0.05631562369
439	0.9912797619	0.05625577291
440	0.9913392857	0.05616821289
441	0.9913392857	0.05609885443
442	0.9913690476	0.05602773757
443	0.9913988095	0.05598647708
444	0.9913690476	0.05592907134
445	0.9913690476	0.05582396008
446	0.9913988095	0.05570933387
447	0.9913988095	0.05564888727
448	0.9913690476	0.0556308928
449	0.9913690476	0.05559036981
450	0.9914285714	0.05554662069
451	0.9913988095	0.05553689139
452	0.9914285714	0.05539936974
453	0.9914285714	0.055244929
454	0.991547619	0.0551306225
455	0.991577381	0.055087778
456	0.991577381	0.05506418501
457	0.9916071429	0.05505570185
458	0.9916369048	0.05500766936
459	0.991577381	0.05499172392
460	0.9917559524	0.05479684739
461	0.9917857143	0.0547563353
462	0.9918154762	0.05474914914
463	0.9918154762	0.05468781971
464	0.9917857143	0.05460236686
465	0.9918452381	0.0544775209
466	0.9919047619	0.05434399196
467	0.9919345238	0.05432954697
468	0.9919940476	0.05416297186
469	0.9919940476	0.05410062517
470	0.9919642857	0.05406487238
471	0.9919345238	0.05401906331
